IndiceIPC,V1_IPSA,V2_IMACEC,V3_DOLAROBS
106.74,-0.52146696,1.57718595,0.6332741
107.49,-0.349739055,0.17072034,0.5481516
107.69,0.089050942,-0.06844771,0.5410727
108.09,0.589486063,1.394119048,0.5695529
108.50,-0.065878667,0.686457205,0.4285006
108.79,-0.245281391,0.884287567,0.4621191
108.88,-0.283963707,0.777006425,0.5709116
109.76,-0.406159755,0.508311456,0.7529001
110.15,-0.037013338,1.17266715,0.9767128
111.45,-0.235788042,0.983694863,1.0056379
112.94,-0.652493673,1.426598659,1.2365836
113.51,-0.127724139,1.99548398,1.2264870
114.39,-0.319332597,2.519094689,1.5044441
115.77,0.050646029,0.890192951,1.2982683
116.10,0.029101058,0.436462618,1.1841674
118.26,0.649405124,2.02599513,1.1241498
119.91,0.405074673,1.214989068,1.2455132
121.35,1.286677011,1.402977124,1.5064859
122.48,0.670087063,1.060464855,1.5703030
124.16,1.145771667,0.543743759,2.3009435
125.67,1.426580621,1.291759059,1.9250709
126.75,0.922523849,0.992552939,2.0519148
127.41,1.045228469,1.221878683,2.3176112
128.65,1.182080645,1.601791716,2.0217968
129.02,1.150179293,2.324217019,1.7065655
130.05,1.243386722,1.026016782,1.3309077
129.97,1.355133921,0.497484919,1.1170679
131.38,1.246823438,1.919698219,1.2027190
131.79,1.387790426,1.209083684,1.1595594
131.94,1.47324598,1.317349056,1.1199463
131.74,1.959102029,1.027985243,1.1293675
132.20,2.895491471,0.762242965,1.2323693
132.35,2.301972212,1.222862913,1.5542339
133.24,2.030856954,1.018142936,1.7731453
133.82,1.374552136,1.327191363,2.0925797
134.82,2.007971202,1.715962473,1.7899809
134.10,2.59245945,2.241541644,1.6989828
